date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:45	21524/21524	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:45%20GMT	https://developer.mozilla.org/En/DOM/DocumentFragment	developer.mozilla.org/En/DOM/DocumentFragment.html	(from )
14:58:46	21482/21482	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:46%20GMT	https://developer.mozilla.org/En/DOM/DocumentType	developer.mozilla.org/En/DOM/DocumentType.html	(from )
14:58:47	22664/22664	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:47%20GMT	https://developer.mozilla.org/En/DOM/DOMConfiguration	developer.mozilla.org/En/DOM/DOMConfiguration.html	(from )
14:58:48	23142/23142	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:48%20GMT	https://developer.mozilla.org/En/DOM/DOMError	developer.mozilla.org/En/DOM/DOMError.html	(from )
14:58:49	22295/22295	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:49%20GMT	https://developer.mozilla.org/En/DOM/DOMErrorHandler	developer.mozilla.org/En/DOM/DOMErrorHandler.html	(from )
14:58:50	22182/22182	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:50%20GMT	https://developer.mozilla.org/En/DOM/DOMException	developer.mozilla.org/En/DOM/DOMException.html	(from )
14:58:51	22807/22807	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:51%20GMT	https://developer.mozilla.org/En/DOM/DOMImplementation	developer.mozilla.org/En/DOM/DOMImplementation.html	(from )
14:58:52	21465/21465	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:52%20GMT	https://developer.mozilla.org/En/DOM/DOMImplementationList	developer.mozilla.org/En/DOM/DOMImplementationList.html	(from )
14:58:53	22089/22089	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:53%20GMT	https://developer.mozilla.org/En/DOM/DOMImplementationRegistry	developer.mozilla.org/En/DOM/DOMImplementationRegistry.html	(from )
14:58:54	21864/21864	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:54%20GMT	https://developer.mozilla.org/En/DOM/DOMImplementationSource	developer.mozilla.org/En/DOM/DOMImplementationSource.html	(from )
14:58:55	21699/21699	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:54%20GMT	https://developer.mozilla.org/En/DOM/DOMLocator	developer.mozilla.org/En/DOM/DOMLocator.html	(from )
14:58:56	20151/20151	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:55%20GMT	https://developer.mozilla.org/En/DOM/DOMObject	developer.mozilla.org/En/DOM/DOMObject.html	(from )
14:58:57	20210/20210	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Dec%202010%2011:58:56%20GMT	https://developer.mozilla.org/En/DOM/DOMString	developer.mozilla.org/En/DOM/DOMString.html	(from )
